item_id,description
N201436,Supplier sheet: Bluebell cold brew 250 ml pack of 2. Store at ambient. Shelf life 35 days. Allergens: none.
N202429,Supplier sheet: Bluebell rice cakes 1 kg pack of 12. Store at ambient. Shelf life 67 days. Allergens: nuts;milk.
N201368,Supplier sheet: Valley whole milk 1 kg pack of 6. Store at chilled. Shelf life 128 days. Allergens: milk.
N201028,Supplier sheet: Harvest cola zero 1 kg pack of 4. Store at ambient. Shelf life 12 days. Allergens: none.
N200102,Supplier sheet: Meadow bin liners 330 ml pack of 4. Store at ambient. Shelf life 164 days. Allergens: none.
N200717,Supplier sheet: Orchard tortilla chips 250 ml pack of 6. Store at ambient. Shelf life 33 days. Allergens: nuts;milk.
N202181,Supplier sheet: Orchard dark chocolate 500 g pack of 6. Store at ambient. Shelf life 142 days. Allergens: nuts;milk.
N200925,Supplier sheet: Harvest dark chocolate 1 L pack of 6. Store at ambient. Shelf life 112 days. Allergens: nuts;milk.
N201845,Supplier sheet: Bluebell tortilla chips 330 ml pack of 1. Store at ambient. Shelf life 153 days. Allergens: nuts;milk.
N202671,Supplier sheet: Bluebell body lotion 500 g pack of 1. Store at ambient. Shelf life 140 days. Allergens: none.
N202788,Supplier sheet: Meadow orange juice 2 L pack of 2. Store at ambient. Shelf life 94 days. Allergens: none.
N201421,Supplier sheet: Meadow tortilla chips 330 ml pack of 4. Store at ambient. Shelf life 136 days. Allergens: nuts;milk.
N200333,Supplier sheet: Meadow dark chocolate 750 g pack of 4. Store at ambient. Shelf life 64 days. Allergens: nuts;milk.
N201651,Supplier sheet: Bluebell mixed berries 500 g pack of 2. Store at -18C. Shelf life 106 days. Allergens: gluten;fish.
N200286,Supplier sheet: Valley laundry pods 750 g pack of 1. Store at ambient. Shelf life 164 days. Allergens: none.
N200330,Supplier sheet: Harvest gala apple 330 ml pack of 1. Store at chilled. Shelf life 18 days. Allergens: none.
N201577,Supplier sheet: Orchard blueberry muffin 250 ml pack of 2. Store at ambient. Shelf life 65 days. Allergens: gluten;egg.
N202628,Supplier sheet: Harvest sparkling water 2 L pack of 4. Store at ambient. Shelf life 6 days. Allergens: none.
N201420,Supplier sheet: Orchard oat drink 750 g pack of 1. Store at ambient. Shelf life 97 days. Allergens: none.
N201166,Supplier sheet: Valley paper towel 1 L pack of 6. Store at ambient. Shelf life 141 days. Allergens: none.
N201090,Supplier sheet: Harvest banana bunch 6 pk pack of 4. Store at chilled. Shelf life 9 days. Allergens: none.
N202334,Supplier sheet: Northfield paper towel 750 g pack of 12. Store at ambient. Shelf life 100 days. Allergens: none.
N202569,Supplier sheet: Harvest seeded bagel 1 kg pack of 6. Store at ambient. Shelf life 76 days. Allergens: gluten;egg.
N201863,Supplier sheet: Meadow toothpaste mint 250 ml pack of 2. Store at ambient. Shelf life 141 days. Allergens: none.
N202718,Supplier sheet: Northfield glass cleaner 250 ml pack of 1. Store at ambient. Shelf life 41 days. Allergens: none.
N202300,Supplier sheet: Meadow sparkling water 250 ml pack of 6. Store at ambient. Shelf life 31 days. Allergens: none.
