item_id,question,allergen,answer
N202208,Does Meadow salted butter 1 L pack of 1 contain egg?,egg,no
N202686,Does Orchard bin liners 250 ml pack of 4 contain fish?,fish,no
N202836,Does Bluebell oat drink 2 L pack of 1 contain gluten?,gluten,no
N202005,Does Northfield trail mix 500 g pack of 1 contain gluten?,gluten,no
N202144,Does Meadow cheddar cheese 2 L pack of 6 contain gluten?,gluten,no
N200468,Does Northfield sparkling water 6 pk pack of 6 contain nuts?,nuts,no
N200950,Does Harvest glass cleaner 6 pk pack of 4 contain milk?,milk,no
N201056,Does Harvest greek yogurt 330 ml pack of 1 contain gluten?,gluten,no
N200567,Does Orchard hand soap 6 pk pack of 1 contain fish?,fish,no
N200724,Does Northfield cola zero 6 pk pack of 4 contain gluten?,gluten,no
N201981,Does Bluebell rice cakes 2 L pack of 1 contain egg?,egg,no
N200607,Does Valley hand soap 250 ml pack of 12 contain gluten?,gluten,no
N200068,Does Meadow orange juice 2 L pack of 1 contain fish?,fish,no
N201096,Does Bluebell salted butter 6 pk pack of 1 contain egg?,egg,no
N200675,Does Valley garden peas 6 pk pack of 1 contain fish?,fish,yes
N201406,Does Orchard dish soap 2 L pack of 2 contain nuts?,nuts,no
N201092,Does Northfield cold brew 330 ml pack of 1 contain fish?,fish,no
N202139,Does Harvest mixed berries 500 g pack of 4 contain gluten?,gluten,yes
N201589,Does Valley rice cakes 500 g pack of 2 contain nuts?,nuts,yes
N200369,Does Orchard wholemeal bread 330 ml pack of 2 contain milk?,milk,no
N201118,Does Harvest paper towel 330 ml pack of 2 contain milk?,milk,no
N202506,Does Harvest avocado ripe 330 ml pack of 6 contain egg?,egg,no
N202216,Does Orchard whole milk 330 ml pack of 1 contain gluten?,gluten,no
N201134,Does Northfield dish soap 2 L pack of 12 contain milk?,milk,no
N200131,Does Bluebell fish fingers 2 L pack of 12 contain gluten?,gluten,yes
N201256,Does Orchard whole milk 250 ml pack of 6 contain gluten?,gluten,no
N200270,Does Harvest paper towel 6 pk pack of 6 contain egg?,egg,no
N200709,Does Harvest tortilla chips 500 g pack of 2 contain milk?,milk,yes
N201580,Does Bluebell sparkling water 250 ml pack of 12 contain milk?,milk,no
N202360,Does Orchard greek yogurt 500 g pack of 1 contain egg?,egg,no
N202056,Does Orchard whole milk 250 ml pack of 12 contain milk?,milk,yes
N200535,Does Meadow hand soap 6 pk pack of 12 contain nuts?,nuts,no
N201561,Does Bluebell wholemeal bread 500 g pack of 2 contain egg?,egg,yes
N200473,Does Valley seeded bagel 1 kg pack of 4 contain nuts?,nuts,no
N201395,Does Orchard fish fingers 1 L pack of 6 contain milk?,milk,no
N200994,Does Harvest baby spinach 1 L pack of 4 contain egg?,egg,no
N200037,Does Orchard rice cakes 1 kg pack of 2 contain milk?,milk,yes
N200219,Does Harvest mixed berries 500 g pack of 1 contain gluten?,gluten,yes
N200665,Does Harvest sourdough loaf 330 ml pack of 4 contain milk?,milk,no
N201356,Does Orchard cold brew 330 ml pack of 6 contain nuts?,nuts,no
N201206,Does Harvest dish soap 2 L pack of 2 contain egg?,egg,no
N202989,Does Orchard salted crisps 500 g pack of 4 contain egg?,egg,no
N202192,Does Bluebell double cream 330 ml pack of 4 contain milk?,milk,yes
N202296,Does Bluebell cheddar cheese 500 g pack of 4 contain gluten?,gluten,no
N202708,Does Orchard sparkling water 6 pk pack of 6 contain milk?,milk,no
N201477,Does Harvest rice cakes 2 L pack of 12 contain gluten?,gluten,no
N202487,Does Valley shampoo daily 250 ml pack of 4 contain gluten?,gluten,no
N201811,Does Northfield margherita pizza 2 L pack of 4 contain egg?,egg,no
N200537,Does Orchard sourdough loaf 330 ml pack of 4 contain egg?,egg,yes
N200901,Does Northfield dark chocolate 1 kg pack of 4 contain fish?,fish,no
N201276,Does Orchard orange juice 1 L pack of 6 contain gluten?,gluten,no
N200314,Does Orchard gala apple 1 L pack of 1 contain milk?,milk,no
N200467,Does Meadow garden peas 250 ml pack of 6 contain milk?,milk,no
N202834N,Does BLUEBELL AVOCADO RIPE 250 ML PACK OF 2   contain fish?,fish,no
N202994,Does Meadow avocado ripe 1 kg pack of 12 contain fish?,fish,no
N201598,Does Orchard dish soap 6 pk pack of 4 contain gluten?,gluten,no
N201144,Does Harvest cheddar cheese 330 ml pack of 1 contain fish?,fish,no
N201533,Does Meadow dark chocolate 250 ml pack of 2 contain nuts?,nuts,yes
N200082,Does Northfield banana bunch 6 pk pack of 4 contain milk?,milk,no
N200137,Does Valley sourdough loaf 250 ml pack of 12 contain gluten?,gluten,yes
N201005,Does Harvest salted crisps 330 ml pack of 12 contain gluten?,gluten,no
N202090,Does Orchard gala apple 750 g pack of 12 contain egg?,egg,no
N200870,Does Harvest glass cleaner 1 kg pack of 4 contain milk?,milk,no
N201724,Does Meadow cola zero 1 L pack of 12 contain milk?,milk,no
N200595,Does Bluebell margherita pizza 1 kg pack of 4 contain egg?,egg,no
N202245,Does Harvest rice cakes 750 g pack of 1 contain gluten?,gluten,no
N202430,Does Valley paper towel 1 L pack of 4 contain gluten?,gluten,no
N201644,Does Harvest orange juice 1 L pack of 6 contain fish?,fish,no
N200808,Does Bluebell double cream 330 ml pack of 6 contain fish?,fish,no
N200552,Does Orchard salted butter 330 ml pack of 12 contain nuts?,nuts,no
N202519,Does Meadow hand soap 750 g pack of 2 contain fish?,fish,no
N201937,Does Bluebell wholemeal bread 250 ml pack of 1 contain fish?,fish,no
N202288,Does Valley double cream 1 kg pack of 4 contain nuts?,nuts,no
N201689,Does Northfield butter croissant 330 ml pack of 4 contain fish?,fish,no
N200027,Does Harvest vanilla icecream 2 L pack of 6 contain milk?,milk,no
N202913,Does Meadow wholemeal bread 500 g pack of 4 contain milk?,milk,no
N200256,Does Valley greek yogurt 250 ml pack of 2 contain fish?,fish,no
N200620,Does Northfield cold brew 250 ml pack of 2 contain milk?,milk,no
N200329,Does Meadow seeded bagel 500 g pack of 2 contain egg?,egg,yes
N201169,Does Bluebell butter croissant 750 g pack of 4 contain nuts?,nuts,no
N201416,Does Valley double cream 330 ml pack of 2 contain egg?,egg,no
N201297,Does Valley seeded bagel 500 g pack of 1 contain egg?,egg,yes
N200342,Does Valley bin liners 6 pk pack of 2 contain milk?,milk,no
N202643,Does Harvest garden peas 1 L pack of 4 contain gluten?,gluten,yes
N200729,Does Valley sourdough loaf 2 L pack of 6 contain egg?,egg,yes
N202999,Does Valley toothpaste mint 2 L pack of 12 contain fish?,fish,no
N201591,Does Harvest hand soap 6 pk pack of 1 contain fish?,fish,no
N200207,Does Northfield toothpaste mint 500 g pack of 1 contain fish?,fish,no
N200490,Does Harvest cherry tomato 1 kg pack of 2 contain fish?,fish,no
N202049,Does Orchard sourdough loaf 2 L pack of 1 contain fish?,fish,no
N200803,Does Northfield fish fingers 750 g pack of 2 contain nuts?,nuts,no
N200101,Does Orchard trail mix 250 ml pack of 6 contain gluten?,gluten,no
N200237,Does Harvest rice cakes 330 ml pack of 1 contain nuts?,nuts,yes
N201841,Does Bluebell seeded bagel 1 kg pack of 1 contain egg?,egg,yes
N201869,Does Harvest salted crisps 6 pk pack of 6 contain nuts?,nuts,yes
N202856,Does Northfield greek yogurt 2 L pack of 1 contain fish?,fish,no
N201768N,Does BLUEBELL SALTED BUTTER 750 G PACK OF 6   contain egg?,egg,no
N202536,Does Meadow double cream 500 g pack of 6 contain gluten?,gluten,no
N201815,Does Bluebell toothpaste mint 250 ml pack of 6 contain fish?,fish,no
N202835,Does Orchard vanilla icecream 500 g pack of 1 contain fish?,fish,yes
