item_id,title,category,attributes,allergens,unit_price,store_format
N201436,Bluebell cold brew 250 ml pack of 2,Beverages,"{""brand"": ""Bluebell"", ""size"": ""250 ml"", ""pack_qty"": 2}",none,14.37,express
N202429,Bluebell rice cakes 1 kg pack of 12,Snacks,"{""brand"": ""Bluebell"", ""size"": ""1 kg"", ""pack_qty"": 12}",nuts;milk,16.47,express
N201368,Valley whole milk 1 kg pack of 6,Dairy,"{""brand"": ""Valley"", ""size"": ""1 kg"", ""pack_qty"": 6}",milk,11.99,online
N201028,Harvest cola zero 1 kg pack of 4,UNKNOWN_CAT,"{""brand"": ""Harvest"", ""size"": ""1 kg"", ""pack_qty"": 4}",none,7.17,supermarket
N200102,Meadow bin liners 330 ml pack of 4,Household,"{""brand"": ""Meadow"", ""size"": ""330 ml"", ""pack_qty"": 4}",none,14.55,supermarket
N200717,Orchard tortilla chips 250 ml pack of 6,Snacks,"{""brand"": ""Orchard"", ""size"": ""250 ml"", ""pack_qty"": 6}",nuts;milk,3.22,express
N202181,Orchard dark chocolate 500 g pack of 6,Snacks,"{""brand"": ""Orchard"", ""size"": ""500 g"", ""pack_qty"": 6}",nuts;milk,12.13,supermarket
N200925,Harvest dark chocolate 1 L pack of 6,Snacks,"{""brand"": ""Harvest"", ""size"": ""1 L"", ""pack_qty"": 6}",nuts;milk,21.6,supermarket
N201845,Bluebell tortilla chips 330 ml pack of 1,Snacks,"{""brand"": ""Bluebell"", ""size"": ""330 ml"", ""pack_qty"": 1}",nuts;milk,5.71,online
N202671,Bluebell body lotion 500 g pack of 1,Personal Care,"{""brand"": ""Bluebell"", ""size"": ""500 g"", ""pack_qty"": 1}",none,12.37,online
N202788,Meadow orange juice 2 L pack of 2,Beverages,"{""brand"": ""Meadow"", ""size"": ""2 L"", ""pack_qty"": 2}",none,21.23,express
N201421,Meadow tortilla chips 330 ml pack of 4,Snacks,"{""brand"": ""Meadow"", ""size"": ""330 ml"", ""pack_qty"": 4}",nuts;milk,11.38,express
N200333,Meadow dark chocolate 750 g pack of 4,Snacks,"{""brand"": ""Meadow"", ""size"": ""750 g"", ""pack_qty"": 4}",nuts;milk,19.73,express
N201651,Bluebell mixed berries 500 g pack of 2,Frozen,"{""brand"": ""Bluebell"", ""size"": ""500 g"", ""pack_qty"": 2}",gluten;fish,23.87,online
N200286,Valley laundry pods 750 g pack of 1,Household,"{""brand"": ""Valley"", ""size"": ""750 g"", ""pack_qty"": 1}",none,3.99,online
N200330,Harvest gala apple 330 ml pack of 1,Produce,"{""brand"": ""Harvest"", ""size"": ""330 ml"", ""pack_qty"": 1}",none,0.41,supermarket
N201577,Orchard blueberry muffin 250 ml pack of 2,Bakery,"{""brand"": ""Orchard"", ""size"": ""250 ml"", ""pack_qty"": 2}",gluten;egg,10.53,supermarket
N202628,Harvest sparkling water 2 L pack of 4,Beverages,"{""brand"": ""Harvest"", ""size"": ""2 L"", ""pack_qty"": 4}",none,4.24,express
N201420,Orchard oat drink 750 g pack of 1,Beverages,"{""brand"": ""Orchard"", ""size"": ""750 g"", ""pack_qty"": 1}",none,7.88,online
N201166,Valley paper towel 1 L pack of 6,Household,"{""brand"": ""Valley"", ""size"": ""1 L"", ""pack_qty"": 6}",none,7.71,express
N201090,Harvest banana bunch 6 pk pack of 4,Produce,"{""brand"": ""Harvest"", ""size"": ""6 pk"", ""pack_qty"": 4}",none,7.0,supermarket
N202334,Northfield paper towel 750 g pack of 12,Household,"{""brand"": ""Northfield"", ""size"": ""750 g"", ""pack_qty"": 12}",none,16.68,supermarket
N202569,Harvest seeded bagel 1 kg pack of 6,Bakery,"{""brand"": ""Harvest"", ""size"": ""1 kg"", ""pack_qty"": 6}",gluten;egg,10.51,express
N201863,Meadow toothpaste mint 250 ml pack of 2,Personal Care,"{""brand"": ""Meadow"", ""size"": ""250 ml"", ""pack_qty"": 2}",none,5.58,supermarket
N202718,Northfield glass cleaner 250 ml pack of 1,Household,"{""brand"": ""Northfield"", ""size"": ""250 ml"", ""pack_qty"": 1}",none,22.42,online
N202300,Meadow sparkling water 250 ml pack of 6,Beverages,"{""brand"": ""Meadow"", ""size"": ""250 ml"", ""pack_qty"": 6}",none,21.85,online
N200518,Bluebell paper towel 750 g pack of 12,Household,"{""brand"": ""Bluebell"", ""size"": ""750 g"", ""pack_qty"": 12}",none,13.28,supermarket
N202680,Meadow cheddar cheese 1 L pack of 4,Dairy,"{""brand"": ""Meadow"", ""size"": ""1 L"", ""pack_qty"": 4}",milk,11.99,express
N202433,Orchard blueberry muffin 6 pk pack of 2,Bakery,"{""brand"": ""Orchard"", ""size"": ""6 pk"", ""pack_qty"": 2}",gluten;egg,13.39,supermarket
N201338,Valley cherry tomato 750 g pack of 12,Produce,"{""brand"": ""Valley"", ""size"": ""750 g"", ""pack_qty"": 12}",none,8.61,supermarket
N200280,Meadow double cream 1 kg pack of 12,Dairy,"{""brand"": ""Meadow"", ""size"": ""1 kg"", ""pack_qty"": 12}",milk,17.9,express
N202512,Harvest greek yogurt 330 ml pack of 6,Dairy,"{""brand"": ""Harvest"", ""size"": ""330 ml"", ""pack_qty"": 6}",milk,13.6,express
N200210,Meadow cherry tomato 250 ml pack of 2,Produce,"{""brand"": ""Meadow"", ""size"": ""250 ml"", ""pack_qty"": 2}",none,7.53,express
N201675,Orchard vanilla icecream 2 L pack of 12,Frozen,"{""brand"": ""Orchard"", ""size"": ""2 L"", ""pack_qty"": 12}",gluten;fish,8.24,online
N200404,Orchard orange juice 6 pk pack of 6,Beverages,"{""brand"": ""Orchard"", ""size"": ""6 pk"", ""pack_qty"": 6}",none,13.28,express
N200306,Meadow cherry tomato 1 L pack of 4,Produce,"{""brand"": ""Meadow"", ""size"": ""1 L"", ""pack_qty"": 4}",none,22.49,online
N200630,Northfield laundry pods 1 L pack of 6,Household,"{""brand"": ""Northfield"", ""size"": ""1 L"", ""pack_qty"": 6}",none,10.85,express
N200337,Harvest blueberry muffin 750 g pack of 12,Bakery,"{""brand"": ""Harvest"", ""size"": ""750 g"", ""pack_qty"": 12}",gluten;egg,2.43,supermarket
N201131,Northfield garden peas 250 ml pack of 2,Frozen,"{""brand"": ""Northfield"", ""size"": ""250 ml"", ""pack_qty"": 2}",gluten;fish,3.46,supermarket
N202557,Northfield dark chocolate 1 L pack of 1,Snacks,"{""brand"": ""Northfield"", ""size"": ""1 L"", ""pack_qty"": 1}",nuts;milk,8.18,express
N201860,Bluebell oat drink 500 g pack of 1,Beverages,"{""brand"": ""Bluebell"", ""size"": ""500 g"", ""pack_qty"": 1}",none,4.63,supermarket
N202990,Orchard glass cleaner 500 g pack of 2,Household,"{""brand"": ""Orchard"", ""size"": ""500 g"", ""pack_qty"": 2}",none,5.11,supermarket
N200703,Meadow hand soap 2 L pack of 2,Personal Care,"{""brand"": ""Meadow"", ""size"": ""2 L"", ""pack_qty"": 2}",none,14.38,supermarket
N202092,Valley sparkling water 6 pk pack of 12,Beverages,"{""brand"": ""Valley"", ""size"": ""6 pk"", ""pack_qty"": 12}",none,17.64,express
N200301,Northfield dark chocolate 1 L pack of 2,Snacks,"{""brand"": ""Northfield"", ""size"": ""1 L"", ""pack_qty"": 2}",nuts;milk,21.88,online
N200991,Harvest body lotion 6 pk pack of 12,Personal Care,"{""brand"": ""Harvest"", ""size"": ""6 pk"", ""pack_qty"": 12}",none,10.95,express
N202896,Harvest salted butter 250 ml pack of 6,Dairy,"{""brand"": ""Harvest"", ""size"": ""250 ml"", ""pack_qty"": 6}",milk,8.95,online
N200637,Orchard salted crisps 1 L pack of 4,Snacks,"{""brand"": ""Orchard"", ""size"": ""1 L"", ""pack_qty"": 4}",nuts;milk,2.62,express
N200918,Meadow laundry pods 2 L pack of 1,Household,"{""brand"": ""Meadow"", ""size"": ""2 L"", ""pack_qty"": 1}",none,18.05,supermarket
N200160,Northfield whole milk 1 L pack of 2,Dairy,"{""brand"": ""Northfield"", ""size"": ""1 L"", ""pack_qty"": 2}",milk,20.31,online
N202007,Northfield toothpaste mint 330 ml pack of 2,Personal Care,"{""brand"": ""Northfield"", ""size"": ""330 ml"", ""pack_qty"": 2}",none,6.33,express
N200252,Orchard cola zero 330 ml pack of 4,Beverages,"{""brand"": ""Orchard"", ""size"": ""330 ml"", ""pack_qty"": 4}",none,5.04,express
N200592,Northfield greek yogurt 250 ml pack of 12,Dairy,"{""brand"": ""Northfield"", ""size"": ""250 ml"", ""pack_qty"": 12}",milk,9.6,supermarket
N201429,Orchard dark chocolate 750 g pack of 6,Snacks,"{""brand"": ""Orchard"", ""size"": ""750 g"", ""pack_qty"": 6}",nuts;milk,1.44,supermarket
N200385,Valley sourdough loaf 250 ml pack of 1,Bakery,"{""brand"": ""Valley"", ""size"": ""250 ml"", ""pack_qty"": 1}",gluten;egg,19.16,supermarket
N200968,Orchard cheddar cheese 1 kg pack of 2,Dairy,"{""brand"": ""Orchard"", ""size"": ""1 kg"", ""pack_qty"": 2}",milk,3.66,express
N202733,Orchard trail mix 1 kg pack of 6,Snacks,"{""brand"": ""Orchard"", ""size"": ""1 kg"", ""pack_qty"": 6}",nuts;milk,2.19,online
N202784,Bluebell double cream 500 g pack of 6,Dairy,"{""brand"": ""Bluebell"", ""size"": ""500 g"", ""pack_qty"": 6}",milk,16.09,online
