question,expected,area
What temperature must chilled products be held at?,5 C,food-safety
How long is the refund window for chilled goods?,24 hours,returns
When are promotional price tags removed?,Tuesday night,promotions
How long is the unpaid break for a 7 hour shift?,30 minute,hr-policy
What temperature must frozen products be held at?,-18 C,food-safety
When are end-caps reset?,Wednesday,planogram
Who approves refunds over 50?,duty-manager,returns
How quickly must a spillage be marked and cleaned?,10 minutes,safety
What is the capital of France?,OUT_OF_SCOPE,none
How much notice for sickness reporting?,2 hours,hr-policy
