ts,arm,click
0,B,0
1,A,1
2,A,0
3,B,0
4,A,0
5,A,0
6,B,0
7,A,0
8,B,0
9,B,0
10,A,0
11,A,0
12,A,0
13,A,0
14,B,0
15,A,0
16,B,0
17,B,0
18,A,0
19,B,0
20,A,0
21,A,1
22,A,0
23,B,0
24,A,0
25,B,0
26,B,0
27,A,0
28,B,0
29,A,0
30,B,0
31,A,0
32,B,0
33,A,1
34,A,0
35,A,0
36,A,0
37,A,0
38,A,0
39,A,0
40,A,0
41,B,0
42,B,0
43,A,0
44,A,0
45,B,0
46,B,0
47,B,0
48,A,1
49,A,0
50,A,0
51,A,0
52,A,0
53,A,0
54,B,0
55,B,0
56,B,0
57,B,0
58,B,0
59,B,0
60,A,0
61,A,0
62,B,0
63,B,0
64,B,0
65,B,0
66,A,0
67,A,0
68,A,0
69,A,0
70,A,0
71,B,0
72,A,0
73,A,0
74,B,0
75,B,0
76,A,0
77,A,0
78,B,0
79,B,0
80,B,0
81,B,0
82,A,0
83,A,0
84,B,0
85,B,0
86,A,0
87,B,0
88,A,0
89,A,0
90,A,0
91,A,0
92,A,0
93,A,0
94,A,0
95,B,0
96,B,0
97,A,0
98,B,0
99,A,0
100,B,0
101,A,0
102,A,0
103,A,0
104,B,0
105,B,0
106,A,0
107,B,0
108,B,0
109,B,0
110,B,0
111,A,0
112,B,1
113,B,0
114,A,0
115,A,0
116,B,0
117,B,0
118,B,0
119,B,0
120,A,0
121,A,0
122,B,0
123,B,0
124,A,0
125,B,0
126,B,0
127,A,0
128,B,0
129,B,0
130,B,0
131,A,0
132,A,0
133,B,1
134,A,0
135,B,0
136,A,0
137,B,0
138,A,0
139,B,0
140,B,0
141,B,0
142,A,0
143,A,0
144,B,0
145,A,0
146,A,0
147,B,0
148,A,0
149,B,0
150,A,0
151,B,0
152,A,0
153,B,0
154,A,0
155,B,0
156,A,0
157,A,0
158,A,0
159,A,0
160,A,0
161,B,0
162,B,0
163,B,0
164,B,0
165,A,0
166,B,0
167,A,0
168,A,0
169,B,0
170,A,0
171,A,0
172,A,0
173,B,0
174,B,1
175,B,1
176,B,0
177,A,0
178,A,0
179,A,0
180,A,0
181,A,0
182,A,0
183,B,0
184,A,0
185,A,0
186,B,0
187,A,0
188,A,0
189,A,0
190,A,0
191,B,0
192,A,0
193,B,0
194,A,0
195,B,0
196,A,0
197,A,0
198,A,0
199,B,0
200,A,0
201,B,0
202,A,0
203,A,0
204,B,0
205,A,0
206,B,0
207,B,0
208,A,0
209,B,0
210,B,0
211,B,0
212,A,0
213,A,0
214,B,0
215,B,0
216,B,0
217,B,0
218,A,0
219,A,0
220,A,0
221,A,0
222,B,0
223,A,0
224,A,1
225,B,1
226,A,0
227,B,0
228,B,0
229,B,0
230,A,0
231,B,0
232,B,0
233,B,0
234,B,0
235,B,0
236,B,0
237,B,0
238,B,0
239,A,0
240,B,0
241,A,0
242,B,0
243,A,0
244,B,0
245,B,0
246,B,0
247,B,0
248,B,0
249,A,0
250,B,0
251,A,0
252,B,0
253,A,0
254,A,0
255,B,0
256,B,0
257,B,0
258,A,0
259,A,0
260,A,1
261,B,0
262,A,1
263,A,0
264,B,0
265,B,0
266,B,0
267,A,0
268,A,0
269,B,0
270,A,0
271,B,0
272,A,0
273,A,0
274,A,0
275,A,0
276,A,0
277,A,0
278,B,0
279,B,0
280,A,0
281,B,0
282,A,0
283,A,0
284,A,0
285,B,0
286,B,0
287,B,0
288,B,0
289,B,0
290,A,0
291,A,0
292,A,0
293,A,0
294,B,0
295,A,0
296,A,0
297,A,0
298,B,0
299,B,0
300,B,0
301,B,0
302,B,0
303,B,0
304,B,0
305,B,0
306,A,0
307,B,0
308,A,0
309,A,0
310,A,0
311,B,0
312,A,0
313,A,0
314,A,0
315,B,0
316,A,0
317,B,0
318,B,0
319,B,0
320,A,0
321,A,0
322,B,0
323,A,0
324,A,0
325,A,0
326,A,0
327,A,0
328,A,0
329,A,0
330,B,0
331,B,0
332,B,0
333,A,0
334,B,0
335,A,0
336,A,0
337,B,0
338,A,0
339,A,0
340,B,0
341,A,0
342,A,0
343,B,0
344,A,0
345,B,0
346,A,0
347,A,0
348,A,0
349,A,0
350,A,0
351,B,0
352,A,0
353,B,0
354,B,0
355,A,0
356,B,0
357,A,0
358,A,0
359,B,1
360,A,0
361,B,0
362,B,1
363,B,0
364,A,0
365,B,1
366,B,0
367,A,0
368,A,0
369,A,0
370,B,0
371,B,0
372,B,0
373,A,0
374,A,0
375,A,0
376,B,0
377,A,0
378,B,0
379,B,0
380,B,0
381,A,0
382,A,0
383,B,0
384,A,0
385,B,0
386,A,0
387,A,0
388,B,0
389,B,0
390,A,0
391,B,0
392,A,0
393,A,0
394,B,0
395,A,0
396,A,0
397,A,0
398,B,0
399,A,0
400,A,0
401,A,0
402,B,0
403,A,0
404,A,0
405,A,0
406,A,0
407,A,0
408,B,0
409,A,0
410,A,0
411,B,0
412,A,1
413,A,0
414,A,0
415,B,0
416,B,0
417,B,0
418,A,0
419,A,0
420,A,0
421,B,0
422,A,0
423,A,0
424,A,0
425,B,0
