week,title_len,attr_count,latency_ms
1,34.4,2.53,158.5
1,45.6,3.73,125.4
1,36.3,1.99,97.5
1,43.4,3.02,59.8
1,49.5,2.34,117.1
1,42.3,2.35,163.3
1,52.5,3.23,96.1
1,35.1,2.96,258.5
1,44.1,3.31,309.4
1,51.4,2.68,74.3
1,41.5,3.45,23.2
1,38.4,2.42,51.1
1,38.9,2.66,40.2
1,37.3,1.69,81.4
1,42.2,2.55,46.0
1,31.6,3.91,202.7
1,38.5,4.04,135.1
1,38.2,2.86,116.0
1,42.0,2.72,207.4
1,41.0,2.83,103.6
1,36.0,4.96,39.8
1,44.1,3.81,132.4
1,43.4,4.08,181.2
1,42.1,3.32,90.1
1,43.3,1.34,102.0
1,33.9,2.21,190.6
1,38.3,3.14,105.6
1,38.8,2.7,206.4
1,39.0,3.11,222.8
1,37.7,3.47,158.7
1,41.3,3.1,44.1
1,50.9,1.94,70.8
1,40.0,4.47,64.7
1,46.6,2.48,161.7
1,44.8,1.75,138.3
1,40.5,2.01,122.9
1,38.8,2.59,162.2
1,47.6,3.18,96.6
1,34.0,2.88,187.7
1,38.2,2.43,108.2
1,36.5,4.23,60.6
1,43.7,2.65,115.2
1,32.7,3.6,79.8
1,53.5,1.88,147.5
1,37.9,2.47,90.2
1,42.4,3.71,90.4
1,50.4,3.34,143.0
1,26.3,3.47,162.4
1,47.5,2.56,142.6
1,46.0,4.07,207.1
1,46.3,2.49,57.9
1,52.5,2.56,36.8
1,44.9,2.39,119.9
1,39.3,3.52,171.4
1,41.3,2.52,144.0
1,34.7,3.04,186.9
1,48.0,3.74,112.4
1,36.8,1.73,193.5
1,31.8,3.99,115.5
1,40.4,2.37,137.6
1,40.3,4.05,173.7
1,35.3,2.0,194.3
1,41.5,3.12,84.2
1,44.5,2.53,168.8
1,40.9,2.34,104.9
1,37.5,4.22,36.8
1,38.7,3.76,113.2
1,40.0,2.96,92.2
1,35.3,2.59,62.8
1,35.2,4.46,114.7
1,44.8,2.98,117.1
1,45.1,2.34,62.3
1,42.0,1.39,84.9
1,41.0,2.58,44.5
1,35.0,3.34,112.9
1,37.4,4.22,74.3
1,40.5,2.92,140.1
1,47.1,4.94,38.6
1,38.9,4.61,120.4
1,44.6,3.21,159.5
1,44.0,2.78,75.8
1,42.9,3.84,111.6
1,34.8,4.12,71.1
1,43.6,3.11,159.7
1,38.6,3.6,261.5
1,27.4,2.75,106.6
1,42.3,1.98,175.2
1,37.8,3.58,81.5
1,38.8,2.75,170.7
1,48.6,3.14,89.1
1,36.5,1.69,66.8
1,33.9,1.7,196.3
1,41.8,3.89,166.4
1,40.3,3.14,281.4
1,46.0,4.81,126.7
1,44.9,3.37,63.4
1,38.9,3.71,165.2
1,41.9,3.43,144.2
1,40.1,1.81,101.5
1,48.8,3.99,118.6
1,43.1,3.83,104.4
